Part_Number,Organization,WIP,Coldhead_Serial_Number,Temps,Arrival_Date,Teardown_Date,Test_Date,Date_Closed,depart_date,status
300388D.002,,227580,J03510(2),,2018-08-28 00:00:00,,2018-10-03 00:00:00,2018-10-11 00:00:00,2018-10-12 00:00:00,Closed
300388D.002,RCZ,227754,J02666,,2018-08-30T08:00:00,,2018-10-12 00:00:00,2018-10-18 00:00:00,2018-10-18 00:00:00,Closed
300388D.002,,226619,J01812,,2018-09-07 00:00:00,,2018-10-18 00:00:00,2018-10-26 00:00:00,2018-10-29 00:00:00,Closed
300388D.002,,226620,J03724,,2018-09-07 00:00:00,,2018-10-18 00:00:00,2018-10-26 00:00:00,2018-10-29 00:00:00,Closed
300388D.002,,29185,J02631(1),,2013-07-10 00:00:00,,2013-08-29 00:00:00,2013-09-04 00:00:00,2013-09-04 00:00:00,Closed
300388D.002,,227893,J02631(2),,2018-09-14 00:00:00,,2018-10-23 00:00:00,2018-10-26 00:00:00,2018-10-29 00:00:00,Closed
300388D.002,,28299,J01654 (1),,,,,2013-05-23 00:00:00,,Closed
,,UNKNOWN,UNKNOWN_SERIAL,,,,,,,
300388D.002,,228518,J01654 (2),,2018-10-12 00:00:00,,2018-10-26 00:00:00,2018-11-01 00:00:00,2018-11-02 00:00:00,Closed
300388D.002,,228520,J03411,,2018-10-12 00:00:00,,2018-11-01 00:00:00,2018-11-29 00:00:00,2018-11-30 00:00:00,Closed
300388D.002,,31139,J02480(1),,2013-11-07 00:00:00,,2014-10-27 00:00:00,2014-11-04 00:00:00,2014-11-07 00:00:00,Closed
300388D.002,,220857,J02480(2),,2017-09-06 00:00:00,,2017-09-23 00:00:00,2017-09-28 00:00:00,2017-09-29 00:00:00,Closed
300388D.002,,228518,J02480(3),,2018-10-12 00:00:00,,2018-10-26 00:00:00,2018-11-01 00:00:00,2018-11-02 00:00:00,Closed
300388D.002,,45981,J04032(1),,,,2016-03-17 00:00:00,,2016-03-25 00:00:00,Closed
300388D.002,,228522,J04032(2),,2018-10-12 00:00:00,,2018-10-29 00:00:00,2018-11-01 00:00:00,2018-11-02 00:00:00,Closed
300388D.002,,221147,J01589(1),,2017-09-22 00:00:00,,2017-09-27 00:00:00,2017-09-29 00:00:00,2017-10-12 00:00:00,Closed
300388D.002,,222808,J01589(2),,2018-12-15 00:00:00,,,2018-01-11 00:00:00,2018-01-19 00:00:00,Closed
300388D.002,,228523,J01589(3),,2018-10-12 00:00:00,,2018-10-29 00:00:00,2018-11-01 00:00:00,2018-11-02 00:00:00,Closed
300388D.002,,222774,J03287(1),,2018-12-15 00:00:00,,2018-01-08 00:00:00,2018-01-11 00:00:00,2018-01-19 00:00:00,Closed
300388D.002,,228291,J03287(2),,2018-09-27 00:00:00,,2018-10-23 00:00:00,2018-10-29 00:00:00,2018-10-29 00:00:00,Closed
300388D.002,,226427,J03055,,2018-06-14 00:00:00,,2018-09-11 00:00:00,2018-09-19 00:00:00,2018-09-19 00:00:00,Closed
300388D.002,,228702,J03055,,2018-11-29 00:00:00,,2018-11-26 00:00:00,2018-11-29 00:00:00,2018-11-30 00:00:00,Closed
300388D.002,,228703,J03918,,2018-11-29 00:00:00,,2018-11-26 00:00:00,2018-11-29 00:00:00,2018-11-30 00:00:00,Closed
300388D.002,RCZ,228928,J01336,,2018-11-01T08:00:00,,2018-11-30 00:00:00,2018-12-07 00:00:00,,Closed
300388D.002,RCZ,228929,J02082,,2018-11-01T08:00:00,,2018-11-30 00:00:00,2018-12-07 00:00:00,,Closed
300388D.002,,228935,J04016,,2018-11-07 00:00:00,,2019-01-10 00:00:00,2019-01-14 00:00:00,2019-01-18 00:00:00,Closed
300388D.002,RCZ,228936,J01858,,2018-11-02T08:00:00,,2019-01-04 00:00:00,2019-01-09 00:00:00,2019-01-11 00:00:00,Closed
300388D.002,RCZ,229091,J00549,,2018-11-13T09:00:00,,2019-01-02 00:00:00,2019-01-04 00:00:00,2019-01-11 00:00:00,Closed
300388D.002,RCZ,229092,J00475,,2018-11-09T09:00:00,,2019-01-09 00:00:00,2019-01-10 00:00:00,2019-01-18 00:00:00,Closed
300388D.002,,229093,J03517,,2018-11-21 00:00:00,,,,,Open
300388D.002,,229243,J03987,,2018-12-07 00:00:00,,2019-01-31 00:00:00,2019-02-04 00:00:00,2019-02-08 00:00:00,Closed
300388D.002,RCZ,229244,J02084,,2018-11-28T09:00:00,,2019-02-04 00:00:00,2019-02-06 00:00:00,2019-02-08 00:00:00,Closed
300388D.002,RCZ,229245,J04154,,2018-11-28T09:00:00,,2019-02-20 00:00:00,2019-02-21 00:00:00,2019-02-22 00:00:00,Closed
300388D.002,RCZ,229246,J02453,,2018-11-28T09:00:00,,2019-01-11 00:00:00,2019-01-16 00:00:00,2019-01-18 00:00:00,Closed
300388D.002,RCF,229170,J03884,,2018-11-19T09:00:00,,2018-12-26 00:00:00,,2019-01-04 00:00:00,Closed
300388d.002,,229738,J02631,,2018-12-13 00:00:00,,2018-12-31 00:00:00,,2019-01-11 00:00:00,Closed
300388d.002,,229909,J01633,,2019-01-03 00:00:00,,2019-01-29 00:00:00,2019-01-31 00:00:00,2019-02-01 00:00:00,Closed
300388D.002,,229910,j03785,,2019-01-04 00:00:00,,2019-02-21 00:00:00,2019-03-05 00:00:00,2019-03-08 00:00:00,CLOSED
300388D.002,RCZ,229801,J03816,,2018-12-20T09:00:00,,2019-02-21 00:00:00,2019-03-05 00:00:00,2019-03-08 00:00:00,CLOSED
300388D.002,RCZ,229802,J03287,,2018-12-20T09:00:00,,2019-04-26 00:00:00,2019-05-06 00:00:00,2019-05-10 00:00:00,CLOSED
300388D.002,RCZ,229803,J01768,,2018-12-20T09:00:00,,2019-06-21 00:00:00,2019-06-21 00:00:00,2019-06-28 00:00:00,Closed
300388D.002,RCZ,229775,J01937,,2018-12-18T09:00:00,,2019-07-12 00:00:00,2019-07-19 00:00:00,2019-07-19 00:00:00,CLOSED
300388D.002,RCZ,229911,J02818,,2019-01-03T09:00:00,,2019-07-19 00:00:00,2019-07-26 00:00:00,2019-08-02 00:00:00,Closed
